iso3,country,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_mort_100k,e_mort_num,cfr_pct,c_cdr,c_newinc,newinc_rdx,notif_foreign,c_new_tsr,newrel_coh,mdr_coh,mdr_succ,budget_lab,budget_tot,budget_staff,cf_tot,cf_tot_domestic,cf_tot_gf,cf_tot_usaid,diagnostic_gap_num,diagnostic_gap_pct,case_detection_rate,rdx_coverage_pct,budget_lab_per100k,budget_tot_per100k,lab_budget_share_pct,donor_dependency_pct,treatment_success_pct,hiv_tb_burden_pct,lfa_priority_score
TKL,Tokelau,WPR,2021,2198,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,0.30000000000000004
TON,Tonga,WPR,2021,105483,6.6,7.0,6.0,8.0,,0.26,0.0,,100.0,7.0,,1.0,100.0,7.0,0.0,0.0,,,,,,,,0.0,0.0,100.0,,,,,,100.0,,0.30318327974276016
TTO,Trinidad and Tobago,AMR,2021,1487716,15.0,230.0,190.0,280.0,11.0,1.9,28.0,12.0,74.0,171.0,,4.0,72.0,166.0,,,,,,,,,,59.0,0.2565217391304348,74.0,,,,,,72.0,11.0,0.43446187551009596
TUN,Tunisia,EMR,2021,12048629,40.0,4900.0,3900.0,5800.0,0.73,1.3,150.0,3.0,54.0,2637.0,1957.0,,84.0,2647.0,10.0,6.0,185000.0,992000.0,30000.0,992000.0,992000.0,0.0,0.0,2263.0,0.46183673469387754,54.0,74.21312097080015,1535.444406164386,8233.30189683822,18.649193548387096,0.0,84.0,0.73,0.39914589393260114
TUR,Türkiye,EUR,2021,86686263,16.0,13000.0,11000.0,16000.0,1.2,0.42,360.0,3.0,67.0,9047.0,318.0,1436.0,80.0,8947.0,101.0,45.0,,,,,,,,3953.0,0.3040769230769231,67.0,3.51497734055488,,,,,80.0,1.2,0.4515001919924445
TKM,Turkmenistan,EUR,2021,7092043,35.0,2500.0,2000.0,3000.0,22.0,12.0,860.0,35.0,76.0,1878.0,889.0,0.0,81.0,1878.0,521.0,368.0,,,,,,,,622.0,0.2488,76.0,47.33759318423855,,,,,81.0,22.0,0.3456032385745763
TCA,Turks and Caicos Islands,AMR,2021,45240,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.30000000000000004
TUV,Tuvalu,WPR,2021,10198,216.0,22.0,18.0,27.0,,6.5,1.0,,100.0,22.0,,0.0,67.0,21.0,1.0,1.0,,,,,,,,0.0,0.0,100.0,,,,,,67.0,,0.40418006430851416
UGA,Uganda,AFR,2021,45910933,199.0,91000.0,55000.0,137000.0,32.0,27.0,13000.0,14.0,82.0,74799.0,51374.0,2439.0,88.0,74704.0,502.0,442.0,10426290.0,44686940.0,1400000.0,29885992.0,4000000.0,9700000.0,10200000.0,16201.0,0.17803296703296703,82.0,68.68273640021926,22709.81946718443,97333.98360691124,23.331850424307415,66.58637933115956,88.0,32.0,0.33541113271734757
UKR,Ukraine,EUR,2021,44298646,81.0,36000.0,29000.0,43000.0,22.0,12.0,5200.0,15.0,51.0,18307.0,17451.0,32.0,75.0,14396.0,3316.0,2174.0,10077913.0,133124063.0,94666.0,113121368.0,65706167.0,40611201.0,6804000.0,17693.0,0.4914722222222222,51.0,95.32419293166548,22749.93461425435,300514.9705930064,7.570316570040384,41.915335571260066,75.0,22.0,0.3806512599256427
